,date,stock_name,open,high,low,close,volume
3126,2016-02-11 19:00:00,GS,118.3891,118.3891,118.3891,118.3891,440
3127,2016-02-11 18:00:00,GS,118.0882,118.3891,118.0882,118.3891,200
3128,2016-02-11 17:00:00,GS,118.1049,118.1551,117.921,117.921,3150
3129,2016-02-11 16:00:00,GS,117.5784,118.1551,117.4196,118.1551,475894
3130,2016-02-11 15:00:00,GS,118.4225,118.5729,117.4447,117.4865,2223914
3131,2016-02-11 14:00:00,GS,117.5199,118.9573,116.2078,118.4141,1239802
3132,2016-02-11 13:00:00,GS,118.0464,118.5646,117.3528,117.57,969868
3133,2016-02-11 12:00:00,GS,118.1975,118.3974,117.7873,118.0464,800923
3134,2016-02-11 11:00:00,GS,118.9991,119.0994,117.9713,118.188,965094
3135,2016-02-11 10:00:00,GS,119.5699,120.6873,118.7568,118.9741,1166371
3136,2016-02-11 09:00:00,GS,119.5591,120.3697,117.8876,119.5674,1372974
3137,2016-02-11 08:00:00,GS,119.5089,120.3363,118.9239,119.7179,12792
3138,2016-02-11 07:00:00,GS,120.4366,120.4366,119.3418,120.2444,7500
3139,2016-02-11 06:00:00,GS,120.3697,120.3697,119.9268,119.9268,500
3140,2016-02-11 05:00:00,GS,120.9965,120.9965,120.9715,120.9715,200
3141,2016-02-11 04:00:00,GS,121.1804,121.1804,121.1804,121.1804,100
3142,2016-02-10 19:00:00,GS,122.6429,122.6429,122.6429,122.6429,100
3143,2016-02-10 18:00:00,GS,122.6429,122.6429,122.6429,122.6429,245
3144,2016-02-10 17:00:00,GS,122.9856,123.0357,122.693,123.0357,2360
3145,2016-02-10 16:00:00,GS,123.0441,125.8119,122.0245,122.6429,1334767
3146,2016-02-10 15:00:00,GS,124.657,125.4593,123.0273,123.0858,1643082
3147,2016-02-10 14:00:00,GS,125.1835,125.4927,124.1143,124.5985,522799
3148,2016-02-10 13:00:00,GS,126.153,126.3368,124.9161,125.1584,400671
3149,2016-02-10 12:00:00,GS,126.0986,126.5959,125.1919,126.1696,562417
3150,2016-02-10 11:00:00,GS,126.0443,126.1947,124.8868,126.0945,720477
3151,2016-02-10 10:00:00,GS,126.4455,128.1838,125.6933,126.0192,1044739
3152,2016-02-10 09:00:00,GS,125.802,126.9302,125.1919,126.4371,690744
3153,2016-02-10 08:00:00,GS,125.9273,126.1864,125.359,125.71,6414
3154,2016-02-10 07:00:00,GS,126.1864,126.1947,126.1864,126.1947,200
3155,2016-02-10 05:00:00,GS,125.1167,125.1167,125.1167,125.1167,100
3156,2016-02-10 04:00:00,GS,123.8965,123.8965,123.8965,123.8965,100
3157,2016-02-09 18:00:00,GS,123.6207,124.072,123.3951,124.072,1363
3158,2016-02-09 17:00:00,GS,123.8965,123.8965,123.6207,123.6207,100007
3159,2016-02-09 16:00:00,GS,123.6207,124.072,122.1415,123.3616,215597
3160,2016-02-09 15:00:00,GS,124.4648,125.3172,123.4034,123.9383,1129555
3161,2016-02-09 14:00:00,GS,123.5455,125.0331,123.3533,124.4397,815783
3162,2016-02-09 13:00:00,GS,123.2613,123.7335,122.6137,123.5455,347621
