,date,returns,rewards,portfolio_values
148,2023-10-30,0.01579737663269043,-257.041478486257,102350.390625
149,2023-10-31,0.003427743911743164,-258.290090472696,102701.2265625
150,2023-11-01,0.005505084991455078,-258.9468963734583,103266.609375
151,2023-11-02,0.016257047653198242,-258.47401281916603,104945.421875
152,2023-11-03,0.008000016212463379,-257.7320787272302,105784.984375
153,2023-11-06,0.0013120174407958984,-256.9668861632106,105923.78125
154,2023-11-07,-0.0006316900253295898,-256.21919185858866,105856.8671875
155,2023-11-08,-0.0021050572395324707,-255.5289285792789,105634.03125
156,2023-11-09,-0.00802844762802124,-255.15150938165857,104785.953125
157,2023-11-10,0.010945916175842285,-254.3949945509955,105932.9375
158,2023-11-13,-0.0009737610816955566,-253.67977990342425,105829.78125
159,2023-11-14,0.011043548583984375,-252.89315130317948,106998.515625
160,2023-11-15,0.004810214042663574,-252.19950669973616,107513.203125
161,2023-11-16,0.002885580062866211,-251.58610211941354,107823.4375
162,2023-11-17,0.002148747444152832,-251.0480542246773,108055.1171875
163,2023-11-20,0.004111647605895996,-250.68383846667257,108499.3984375
164,2023-11-21,-0.0014548897743225098,-250.2563435232996,108341.546875
165,2023-11-22,0.00453948974609375,-250.0467915687927,108833.359375
166,2023-11-24,0.001057267189025879,-249.8976037347517,108948.421875
167,2023-11-27,-0.003598511219024658,-249.55470462344195,108556.3671875
168,2023-11-28,0.0021889209747314453,-249.31453578208405,108793.9921875
169,2023-11-29,-0.002783656120300293,-248.94127638024827,108491.1484375
170,2023-11-30,0.004725933074951172,-248.80050285869643,109003.875
171,2023-12-01,-0.0006335973739624023,-248.62545354603515,108934.8125
172,2023-12-04,-0.0027243494987487793,-248.3065405818511,108638.0390625
173,2023-12-05,-0.005522251129150391,-247.7723388531354,108038.109375
174,2023-12-06,-0.007192075252532959,-247.08760532208692,107261.09375
175,2023-12-07,0.005799531936645508,-246.51182702192747,107883.15625
176,2023-12-08,0.004643559455871582,-246.09885509435912,108384.1171875
177,2023-12-11,-0.0023980140686035156,-245.6044158015102,108124.2109375
178,2023-12-12,-0.001024782657623291,-245.0767927629034,108013.40625
179,2023-12-13,0.003025650978088379,-244.65042323472244,108340.21875
180,2023-12-14,0.0071811676025390625,-244.5561042911155,109118.2265625
181,2023-12-15,0.0007325410842895508,-244.5028750453955,109198.15625
182,2023-12-18,0.00596928596496582,-244.8228206128945,109849.9921875
183,2023-12-19,0.0116347074508667,-246.14193250038065,111128.0703125
184,2023-12-20,-0.011138558387756348,-246.46199764280675,109890.265625
185,2023-12-21,0.008095860481262207,-247.40406713092509,110779.921875
186,2023-12-22,0.0021489858627319336,-248.5294494210911,111017.984375
187,2023-12-26,0.002697467803955078,-249.88244544775444,111317.453125
188,2023-12-27,0.0003961324691772461,-251.23453801432302,111361.5546875
189,2023-12-28,-0.0008485317230224609,-252.45962424091852,111267.0625
190,2023-12-29,-0.0008438825607299805,-253.56526511552354,111173.1640625
191,2024-01-02,0.0053102970123291016,-255.1626684014788,111763.5234375
192,2024-01-03,0.00036704540252685547,-256.75486068263325,111804.546875
193,2024-01-04,-0.006476283073425293,-257.67508145221854,111080.46875
194,2024-01-05,0.001390218734741211,-258.68212212001157,111234.890625
195,2024-01-08,0.006276488304138184,-260.264263269013,111933.0546875
196,2024-01-09,-0.004536688327789307,-261.36448496833424,111425.25
197,2024-01-10,0.00039589405059814453,-262.4596802644596,111469.3671875
198,2024-01-11,-0.0025258660316467285,-263.3059840635249,111187.8125
199,2024-01-12,0.0048520565032958984,-264.54982550470737,111727.3046875
200,2024-01-16,-0.00851207971572876,-265.05858061657824,110776.2734375
