TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,5,20,5,0.01,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
60,5,20,5,0.02,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
60,5,20,10,0.01,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
60,5,20,10,0.02,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
90,3,10,20,0.02,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
90,4,20,10,0.01,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
30,4,20,20,0.02,914703.44,-0.341874372,1.300150132,9.147034375,102776.64,-0.342085054,0.194369608,1.027766406,0.291907661,0.521441081,0.495784972,0.436377904
60,3,5,5,0.02,284832.2,-0.273642536,0.825825534,2.848321875,93334.375,-0.299236604,-0.029025894,0.93334375,0.250968259,0.467949133,0.55894129,0.425952894
60,5,10,20,0.01,726370.75,-0.383226861,1.240886016,7.2637075,93927.22,-0.317039215,0.006064125,0.939272188,0.253538688,0.476351421,0.532701196,0.420863768
90,3,5,20,0.02,432927.56,-0.2801092,1.006138355,4.329275625,88631.06,-0.29786245,-0.138030559,0.886310625,0.230575823,0.441848017,0.560966719,0.411130187
90,4,5,5,0.01,508685.88,-0.277692791,1.069449905,5.08685875,93324.69,-0.329157333,-0.038712127,0.933246875,0.250926256,0.465629769,0.514839739,0.410465255
30,3,20,5,0.02,359620.8,-0.273662916,0.996812629,3.596208125,88475.56,-0.29431359,-0.191464897,0.884755625,0.229901612,0.42905319,0.566197548,0.408384117
90,5,20,5,0.01,743749.5,-0.314272811,1.247334787,7.437495,93527.664,-0.398897395,-0.024444133,0.935276641,0.251806314,0.469046234,0.412046627,0.377633058
90,4,10,10,0.01,533302.3,-0.385158794,1.013668136,5.333023125,85151.2,-0.387541371,-0.238523387,0.851512031,0.215487987,0.417785057,0.428784797,0.35401928
90,5,5,5,0.01,479921.97,-0.280386661,1.047533857,4.799219688,82640.76,-0.38006639,-0.250519846,0.826407578,0.204603297,0.414912511,0.439802519,0.353106109
90,4,20,20,0.01,587709.4,-0.379705418,1.119092607,5.87709375,76997.41,-0.339733355,-0.463807079,0.769974063,0.180135077,0.363840983,0.499251249,0.347742437
30,4,20,20,0.01,625716.25,-0.280393023,1.151799998,6.2571625,81100.86,-0.423171515,-0.241553542,0.811008594,0.197926666,0.417059488,0.376267876,0.33041801
60,5,10,10,0.01,905841.25,-0.250713797,1.394917379,9.0584125,81945.055,-0.4250634,-0.245984464,0.819450547,0.201586895,0.415998506,0.373479338,0.330354913
60,4,20,5,0.01,748726.56,-0.278058648,1.302716887,7.487265625,78759.47,-0.410852466,-0.362490535,0.787594688,0.187774958,0.388101182,0.394425493,0.323433878
60,4,20,20,0.01,1067897.9,-0.314272862,1.415593398,10.67897875,73057.06,-0.424351876,-0.448870417,0.730570625,0.16305069,0.36741756,0.374528087,0.301665446
60,5,5,10,0.02,649745.9,-0.45620965,1.154532359,6.49745875,76839.86,-0.438359749,-0.465945609,0.768398594,0.179451991,0.363328913,0.353881233,0.298887379
90,5,5,20,0.02,613511.8,-0.280428172,1.123216621,6.135118125,68165.12,-0.386331058,-0.705253296,0.681651172,0.141840388,0.306026801,0.430568735,0.292811974
30,5,20,20,0.01,741463.5,-0.280680868,1.305751153,7.414635,70868.98,-0.419320512,-0.597977426,0.708689766,0.153563674,0.331713957,0.381944048,0.289073893
60,4,5,20,0.02,545615.6,-0.38515886,1.045916458,5.45615625,76123.23,-0.47958169,-0.454318826,0.761232266,0.176344843,0.366112941,0.293122302,0.278526696
90,3,10,5,0.02,416485.75,-0.307900997,0.954366047,4.1648575,64320.617,-0.426619583,-0.737845681,0.643206172,0.125171557,0.298222569,0.371185608,0.264859912
60,3,20,10,0.02,495425.7,-0.512047607,0.917104499,4.954256875,67719.23,-0.478629364,-0.725984768,0.677192266,0.139907113,0.301062659,0.294525979,0.245165251
30,4,10,10,0.02,590298.6,-0.280393042,1.108295823,5.90298625,72042.58,-0.539703469,-0.514640273,0.720425781,0.158652129,0.351668999,0.204506023,0.238275717
60,5,10,5,0.01,724691.06,-0.272403921,1.408638058,7.246910625,68188.22,-0.514685216,-0.621716962,0.681882188,0.141940551,0.326029536,0.241381587,0.236450558
90,3,10,10,0.01,603807.25,-0.371229984,1.145832843,6.0380725,63920.273,-0.486887813,-0.856898291,0.639202734,0.123435762,0.269715478,0.282353469,0.225168236
90,3,5,10,0.02,225325.67,-0.273662808,0.661593791,2.253256719,59019.914,-0.480319138,-0.813250507,0.590199141,0.102188978,0.280166919,0.292035344,0.22479708
60,3,5,10,0.01,852108.06,-0.290999489,1.306669074,8.521080625,62964.48,-0.516081156,-0.736120732,0.629644805,0.119291673,0.298635608,0.239324047,0.219083776
60,5,5,20,0.02,299847.1,-0.301866955,0.765143387,2.998470938,66188.34,-0.564913779,-0.71849124,0.661883438,0.133269572,0.302856981,0.167347379,0.201157977
90,5,20,5,0.02,318385.25,-0.280392997,0.798425859,3.1838525,60583.93,-0.5112161,-0.967726102,0.605839297,0.108970175,0.243177811,0.246494878,0.199547621
30,4,20,10,0.02,713665.2,-0.280393051,1.273603637,7.136651875,55196.652,-0.519922632,-0.942655929,0.551966523,0.085612231,0.249180852,0.233661917,0.189485
60,4,20,5,0.02,467951.03,-0.429199277,0.983409831,4.679510313,63029.27,-0.557811736,-0.859813846,0.630292695,0.119572583,0.26901735,0.177815409,0.188801781
90,3,10,20,0.01,356384.38,-0.266564235,0.83046019,3.56384375,53388.664,-0.524245207,-1.169782404,0.533886641,0.077773227,0.194795525,0.227290672,0.166619808
60,3,5,10,0.02,1245316.4,-0.303070342,1.581212443,12.45316375,54742.176,-0.612179906,-1.06040646,0.547421758,0.08364173,0.220985543,0.097679641,0.134102305
90,4,5,20,0.01,421282.38,-0.280495858,0.968427355,4.21282375,52080.004,-0.500388935,-1.983296326,0.520800039,0.07209919,0,0.262453539,0.111517577
90,4,5,10,0.01,480227.3,-0.265291669,1.007414602,4.802273125,35451.043,-0.67845073,-1.947285507,0.35451043,0,0.008622774,0,0.002874258
