date,TTM Net Income (Billions),Shareholder's Equity (Billion),Return on Equity(%),ticker
31/3/2023,61.69,206.41,31.38,XOM
31/12/2022,55.74,202.47,29.47,XOM
30/9/2022,51.86,193.04,28.43,XOM
30/6/2022,38.95,184.51,22.12,XOM
31/3/2022,25.79,176.53,15.05,XOM
31/12/2021,23.04,175.68,13.7,XOM
30/9/2021,-5.9,167.51,-3.57,XOM
30/6/2021,-13.33,165.56,-7.86,XOM
31/3/2021,-19.1,164.1,-10.91,XOM
31/12/2020,-22.44,164.13,-12.39,XOM
30/9/2020,3.32,184.61,1.75,XOM
30/6/2020,7.17,187.15,3.72,XOM
31/3/2020,11.38,188.74,5.81,XOM
31/12/2019,14.34,198.94,7.24,XOM
30/9/2019,14.65,197.11,7.4,XOM
30/6/2019,17.72,198.47,8.95,XOM
31/3/2019,18.54,198.02,9.42,XOM
31/12/2018,20.84,198.53,10.64,XOM
30/9/2018,23.22,196.83,11.91,XOM
30/6/2018,20.95,193.53,10.85,XOM
31/3/2018,20.35,194.91,10.65,XOM
31/12/2017,19.71,194.5,10.47,XOM
30/9/2017,13.01,189.2,7.1,XOM
30/6/2017,11.69,185.84,6.49,XOM
31/3/2017,10.04,183.77,5.64,XOM
31/12/2016,7.84,173.83,4.44,XOM
30/9/2016,8.94,177.01,5.04,XOM
30/6/2016,10.53,176.88,5.94,XOM
31/3/2016,13.02,178.5,7.32,XOM
31/12/2015,16.15,176.81,9.1,XOM
30/9/2015,19.94,176.84,11.17,XOM
30/6/2015,23.77,179,13.11,XOM
31/3/2015,28.36,177.45,15.45,XOM
31/12/2014,32.52,181.06,17.59,XOM
30/9/2014,34.3,187.5,18.57,XOM
30/6/2014,34.1,188.13,18.76,XOM
31/3/2014,32.18,182.89,18.12,XOM
31/12/2013,32.58,180.5,18.6,XOM
30/9/2013,34.18,175.48,19.76,XOM
30/6/2013,35.88,171.59,20.84,XOM
31/3/2013,44.93,173.08,26.23,XOM
31/12/2012,44.88,171.66,26.55,XOM
30/9/2012,44.33,172.36,26.66,XOM
30/6/2012,45.09,167.99,27.53,XOM
31/3/2012,39.86,164.12,24.57,XOM
31/12/2011,41.06,160.74,25.57,XOM
30/9/2011,40.91,162.21,25.8,XOM
30/6/2011,37.93,161.84,24.37,XOM
31/3/2011,34.81,157.53,22.97,XOM
31/12/2010,30.46,152.68,21.51,XOM
30/9/2010,27.26,150.6,20.61,XOM
30/6/2010,24.64,145.37,20.09,XOM
31/3/2010,21.03,117.67,18.43,XOM
31/12/2009,19.28,115.39,17.14,XOM
30/6/2024,87.66,300.75,30.48,GOOG
31/3/2024,82.41,292.84,29.52,GOOG
31/12/2023,73.8,283.38,27.22,GOOG
30/9/2023,66.73,273.2,25.24,GOOG
30/6/2023,60.95,267.14,23.49,GOOG
31/3/2023,58.59,260.89,22.84,GOOG
31/12/2022,59.97,256.14,23.54,GOOG
30/9/2022,66.99,253.63,26.41,GOOG
30/6/2022,72.02,255.42,28.65,GOOG
31/3/2022,74.54,254,30.18,GOOG
31/12/2021,76.03,251.64,31.56,GOOG
30/9/2021,70.62,244.57,30.22,GOOG
30/6/2021,62.93,237.57,27.87,GOOG
31/3/2021,51.36,230.01,23.54,GOOG
31/12/2020,40.27,222.54,19.03,GOOG
30/9/2020,35.71,212.92,17.31,GOOG
30/6/2020,31.53,207.32,15.62,GOOG
31/3/2020,34.52,203.66,17.43,GOOG
31/12/2019,34.34,201.44,17.79,GOOG
30/9/2019,32.62,194.97,17.44,GOOG
30/6/2019,34.74,192.19,19.22,GOOG
31/3/2019,27.99,183.47,16.16,GOOG
31/12/2018,30.74,177.63,18.34,GOOG
30/9/2018,18.77,169.84,11.64,GOOG
30/6/2018,16.31,162,10.31,GOOG
31/3/2018,16.64,160.83,10.76,GOOG
31/12/2017,12.66,152.5,8.4,GOOG
30/9/2017,21.02,157.1,14.26,GOOG
30/6/2017,19.34,148.29,13.66,GOOG
31/3/2017,20.7,144.95,15.16,GOOG
31/12/2016,19.48,139.04,14.85,GOOG
30/9/2016,19.07,134.1,15.08,GOOG
30/6/2016,17.99,127.88,14.74,GOOG
31/3/2016,16.52,123.57,14,GOOG
31/12/2015,15.83,120.33,13.86,GOOG
30/9/2015,15.5,116.24,14.08,GOOG
30/6/2015,14.26,111.78,13.48,GOOG
31/3/2015,14.2,108.45,13.96,GOOG
31/12/2014,14.14,103.86,14.49,GOOG
30/9/2014,12.73,98.82,13.63,GOOG
30/6/2014,12.96,95.75,14.49,GOOG
31/3/2014,12.84,91.71,15.07,GOOG
31/12/2013,12.73,87.31,15.69,GOOG
30/9/2013,12.43,82.99,16.09,GOOG
30/6/2013,11.64,78.85,15.83,GOOG
31/3/2013,11.19,75.47,15.99,GOOG
31/12/2012,10.74,71.72,16.14,GOOG
30/9/2012,10.56,68.03,16.72,GOOG
30/6/2012,11.11,64.72,18.56,GOOG
31/3/2012,10.83,61.71,19.11,GOOG
31/12/2011,9.74,58.15,18.22,GOOG
30/9/2011,9.58,54.83,18.97,GOOG
30/6/2011,9.01,51.99,18.94,GOOG
31/3/2011,8.35,48.85,18.66,GOOG
31/12/2010,8.51,46.24,20.2,GOOG
30/9/2010,7.94,43.29,20.06,GOOG
30/6/2010,7.41,40.61,19.94,GOOG
31/3/2010,7.05,38.28,20.21,GOOG
31/12/2009,6.52,36,19.88,GOOG
