Date,Company,Stock Price,Net EPS,PE Ratio
31/12/2017,PG,76.7,3.74,20.51
30/9/2017,PG,75.38,5.69,13.25
30/6/2017,PG,71.65,5.59,12.82
31/3/2017,PG,73.3,5.46,13.43
31/12/2016,PG,68.06,5.5,12.37
30/9/2016,PG,72.08,3.74,19.27
30/6/2016,PG,67.47,3.69,18.29
31/3/2016,PG,65.06,3.18,20.46
31/12/2015,PG,62.23,2.96,21.02
30/9/2015,PG,55.87,2.66,21
30/6/2015,PG,60.27,2.44,24.7
31/3/2015,PG,62.61,3.15,19.87
31/12/2014,PG,69.11,3.3,20.94
30/9/2014,PG,63.05,3.66,17.23
30/6/2014,PG,58.7,4.01,14.64
31/3/2014,PG,59.73,3.76,15.88
31/12/2013,PG,59.87,3.74,16.01
30/9/2013,PG,55.17,3.95,13.97
30/6/2013,PG,55.77,3.87,14.41
31/3/2013,PG,55.39,4.47,12.39
31/12/2012,PG,48.41,4.41,10.98
30/9/2012,PG,49.06,3.59,13.67
30/6/2012,PG,42.95,3.66,11.73
31/3/2012,PG,46.74,3.26,14.34
31/12/2011,PG,46.02,3.4,13.54
30/9/2011,PG,43.24,3.94,10.97
30/6/2011,PG,43.15,3.93,10.98
31/3/2011,PG,41.47,3.8,10.91
31/12/2010,PG,42.99,3.67,11.72
30/9/2010,PG,39.78,4.05,9.82
30/6/2010,PG,39.47,4.09,9.65
31/3/2010,PG,41.32,4.18,9.89
31/12/2009,PG,39.31,4.19,9.38
27/9/2024,XOM,115.82,,13.85
30/6/2024,XOM,114.21,8.36,13.66
31/3/2024,XOM,114.39,8.16,14.02
31/12/2023,XOM,97.48,8.89,10.96
30/9/2023,XOM,113.6,10.07,11.28
30/6/2023,XOM,102.76,12.5,8.22
31/3/2023,XOM,104.16,14.77,7.05
31/12/2022,XOM,103.97,13.26,7.84
30/9/2022,XOM,81.64,12.25,6.66
30/6/2022,XOM,79.33,9.14,8.68
31/3/2022,XOM,75.74,6.03,12.56
31/12/2021,XOM,55.49,5.39,10.3
30/9/2021,XOM,52.62,-1.39,0
30/6/2021,XOM,55.59,-3.11,0
31/3/2021,XOM,48.5,-4.47,0
31/12/2020,XOM,35.2,-5.25,0
30/9/2020,XOM,28.64,0.78,36.72
30/6/2020,XOM,36.59,1.68,21.78
31/3/2020,XOM,30.47,2.67,11.41
31/12/2019,XOM,55.19,3.36,16.42
30/9/2019,XOM,55.17,3.44,16.04
30/6/2019,XOM,59.13,4.15,14.25
31/3/2019,XOM,61.65,4.34,14.2
31/12/2018,XOM,51.46,4.88,10.54
30/9/2018,XOM,63.51,5.44,11.67
30/6/2018,XOM,61.17,4.91,12.46
31/3/2018,XOM,54.61,4.77,11.45
31/12/2017,XOM,60.61,4.63,13.09
30/9/2017,XOM,58.86,3.07,19.17
30/6/2017,XOM,57.4,2.77,20.72
31/3/2017,XOM,57.77,2.4,24.07
31/12/2016,XOM,63,1.88,33.51
30/9/2016,XOM,60.39,2.14,28.22
30/6/2016,XOM,64.3,2.52,25.52
31/3/2016,XOM,56.86,3.11,18.28
31/12/2015,XOM,52.54,3.85,13.65
30/9/2015,XOM,49.67,4.74,10.48
30/6/2015,XOM,55.07,5.62,9.8
31/3/2015,XOM,55.79,6.67,8.36
31/12/2014,XOM,60.23,7.6,7.92
30/9/2014,XOM,60.83,7.95,7.65
30/6/2014,XOM,64.67,7.85,8.24
31/3/2014,XOM,62.32,7.35,8.48
31/12/2013,XOM,64.12,7.37,8.7
30/9/2013,XOM,54.14,7.66,7.07
30/6/2013,XOM,56.46,7.96,7.09
31/3/2013,XOM,55.92,9.82,5.69
31/12/2012,XOM,53.37,9.7,5.5
30/9/2012,XOM,56.03,9.47,5.92
30/6/2012,XOM,52.09,9.51,5.48
31/3/2012,XOM,52.44,8.28,6.33
31/12/2011,XOM,50.96,8.42,6.05
30/9/2011,XOM,43.41,8.3,5.23
30/6/2011,XOM,48.31,7.61,6.35
31/3/2011,XOM,49.66,7.03,7.06
31/12/2010,XOM,42.93,6.22,6.9
30/9/2010,XOM,36.05,5.64,6.39
30/6/2010,XOM,33.06,5.18,6.38
31/3/2010,XOM,38.54,4.39,8.78
31/12/2009,XOM,38.98,3.98,9.79
3/10/2024,GOOG,165.86,,25.44
30/6/2024,GOOG,181.91,6.52,27.9
31/12/2023,GOOG,139.34,5.8,24.02
30/9/2023,GOOG,130.54,5.21,25.05
30/6/2023,GOOG,119.4,5.55,21.51
31/3/2023,GOOG,103.47,5.17,20.01
31/12/2022,GOOG,88.01,5.21,16.89
31/3/2024,GOOG,150.56,5.39,27.93
30/9/2022,GOOG,95.41,5.04,18.95
30/6/2022,GOOG,108.69,5.38,20.22
31/3/2022,GOOG,138.72,5.53,25.09
31/12/2021,GOOG,144.49,5.61,25.75
30/9/2021,GOOG,133.34,5.19,25.68
30/6/2021,GOOG,121.79,4.61,26.4
31/3/2021,GOOG,102.87,3.76,27.39
31/12/2020,GOOG,87.41,2.94,29.78
30/9/2020,GOOG,73.1,2.59,28.25
30/6/2020,GOOG,70.73,2.27,31.11
31/3/2020,GOOG,57.95,2.48,23.39
31/12/2019,GOOG,66.8,2.46,27.17
30/9/2019,GOOG,60.91,2.33,26.14
30/6/2019,GOOG,54.01,2.48,21.8
31/3/2019,GOOG,58.7,1.99,29.44
31/12/2018,GOOG,52.12,2.19,23.85
30/9/2018,GOOG,60.2,1.33,45.3
30/6/2018,GOOG,56.32,1.15,48.78
31/3/2018,GOOG,51.73,1.18,43.91
31/12/2017,GOOG,52.54,0.89,59.07
30/9/2017,GOOG,48.57,1.47,33.05
30/6/2017,GOOG,46.37,1.34,34.58
31/12/2016,GOOG,39.52,1.39,28.4
30/9/2016,GOOG,40.1,1.37,29.35
