date,returns,rewards,portfolio_values
2017-11-17,-0.009613752365112305,-1555.1009608578388,165014.640625
2017-11-20,0.0015785694122314453,-1555.9022446525798,165275.125
2017-11-21,0.014415264129638672,-1557.0770972678074,167657.609375
2017-11-22,-0.007285654544830322,-1558.0621361965,166436.109375
2017-11-24,0.0018014907836914062,-1559.072959473562,166735.9375
2017-11-27,0.0073206424713134766,-1560.2791974860359,167956.546875
2017-11-28,0.012087702751159668,-1561.8330515213975,169986.765625
2017-11-29,-0.018054962158203125,-1562.8700155567894,166917.65625
2017-11-30,0.009950041770935059,-1564.1458961587791,168578.484375
2017-12-01,0.0010654926300048828,-1565.4625989858425,168758.109375
2017-12-04,-0.037616729736328125,-1565.8353286805461,162409.984375
2017-12-05,0.006271481513977051,-1566.2966441402948,163428.53125
2017-12-06,0.014522552490234375,-1567.1100266125209,165801.9375
2017-12-07,-0.003584563732147217,-1567.8427877677104,165207.609375
2017-12-08,0.02010977268218994,-1569.0711263556798,168529.90625
2017-12-11,0.009942770004272461,-1570.5989537421597,170205.5625
2017-12-12,0.0070743560791015625,-1572.3333816815436,171409.65625
2017-12-13,-0.011730313301086426,-1573.7040557177077,169398.96875
2017-12-14,-0.008260846138000488,-1574.8206265288609,167999.59375
2017-12-15,0.013949990272521973,-1576.3190744537687,170343.1875
2017-12-18,0.007691383361816406,-1578.0602727837777,171653.359375
2017-12-19,-0.004213690757751465,-1579.6607586524879,170930.0625
2017-12-20,-0.00347977876663208,-1581.138798539746,170335.265625
2017-12-21,0.015908479690551758,-1583.0986485903395,173045.046875
2017-12-22,-0.0035219192504882812,-1584.9488597780273,172435.59375
2017-12-26,-0.004005372524261475,-1586.649396477933,171744.921875
2017-12-27,0.0018683671951293945,-1588.3951368326746,172065.8125
2017-12-28,0.005308270454406738,-1590.302576798499,172979.1875
2017-12-29,-0.007887661457061768,-1591.9528827876081,171614.78125
2018-01-02,0.009443044662475586,-1593.8789162075348,173235.34375
2018-01-03,0.001016855239868164,-1595.839269772867,173411.5
2018-01-04,0.01431286334991455,-1598.2711177884291,175893.515625
2018-01-05,-0.006398677825927734,-1600.4757573357258,174768.03125
2018-01-08,0.0014415979385375977,-1602.7024469098774,175019.984375
2018-01-09,0.005028843879699707,-1605.0952751661441,175900.140625
2018-01-10,0.010983467102050781,-1607.8789293337857,177832.125
2018-01-11,0.00534212589263916,-1610.8585242681106,178782.125
2018-01-12,0.016503453254699707,-1614.4917222056042,181732.65625
2018-01-16,-0.0035509467124938965,-1617.9622090653984,181087.328125
2018-01-17,0.006413817405700684,-1621.6706880460333,182248.78125
2018-01-18,0.002389192581176758,-1625.4659270501602,182684.21875
2018-01-19,-0.0022076964378356934,-1629.1379054122287,182280.90625
2018-01-22,0.01168060302734375,-1633.298264806703,184410.0625
2018-01-23,-0.0010496973991394043,-1637.39382414058,184216.484375
2018-01-24,0.012783646583557129,-1642.050509043942,186571.4375
2018-01-25,0.0002593994140625,-1646.6988388451005,186619.828125
2018-01-26,0.005358576774597168,-1651.5688320586935,187619.84375
2018-01-29,-0.0010315775871276855,-1656.3570315425693,187426.296875
2018-01-30,-0.009380519390106201,-1660.657017615369,185668.140625
2018-01-31,0.004865407943725586,-1665.1450198348248,186571.5
2018-02-01,0.010374069213867188,-1670.1120078871477,188507.0
2018-02-02,-0.022161424160003662,-1674.001162399814,184329.421875
2018-02-05,-0.04795229434967041,-1675.9778276716788,175490.40625
2018-02-06,0.03042292594909668,-1678.966726407175,180829.34375
2018-02-07,0.006778836250305176,-1682.2577924620334,182055.15625
2018-02-08,-0.044210851192474365,-1683.9372468259348,174006.34375
2018-02-09,0.020023107528686523,-1686.192799759402,177490.484375
2018-02-12,0.015448331832885742,-1689.0255125067683,180232.40625
2018-02-13,0.006175041198730469,-1692.0805780147023,181345.34375
2018-02-14,0.0231245756149292,-1696.063057535802,185538.875
2018-02-15,0.004172563552856445,-1700.2239467461898,186313.046875
2018-02-16,-0.007187247276306152,-1704.0310277075273,184973.96875
2018-02-20,0.0002601146697998047,-1707.814371905787,185022.09375
